Block,ARTR,BRTE,DF,DG,DS,ELEL,L,NONE,OTHER,W,WL,Year
1,3.838315217391304,0.0,0.4076086956521739,4.857336956521739,0.8152173913043478,1.3247282608695652,0.0,88.75679347826086,0.0,0.0,0.0,2021
2,3.9322250639386187,0.0,2.3657289002557547,2.2058823529411766,0.639386189258312,0.5115089514066496,0.0639386189258312,90.21739130434783,0.0,0.0639386189258312,0.0,2021
3,2.921195652173913,0.0,0.9510869565217392,2.7853260869565215,0.8831521739130435,0.78125,0.0,91.67798913043478,0.0,0.0,0.0,2021
4,2.282608695652174,0.0,1.1956521739130435,5.108695652173913,0.9782608695652175,0.2898550724637681,0.0,89.92753623188405,0.036231884057971016,0.18115942028985507,0.0,2021
5,3.4307065217391304,0.06793478260869565,0.6453804347826086,4.076086956521739,1.1209239130434783,0.5434782608695652,0.0,90.0475543478261,0.0,0.033967391304347824,0.033967391304347824,2021
