Plot,ARTR,BRTE,CETE,DF,DG,DS,ELEL,NONE,OTHER,Year
BN,0.05434782608695652,4.782608695652174,0.21739130434782608,2.3369565217391304,10.434782608695652,0.0,2.2282608695652173,78.80434782608695,1.141304347826087,2020
BS,0.0,1.25,1.358695652173913,4.4021739130434785,11.195652173913045,0.05434782608695652,0.05434782608695652,78.6413043478261,3.0434782608695654,2020
RN,0.0,3.967391304347826,0.8152173913043478,2.1739130434782608,10.16304347826087,0.05434782608695652,2.4456521739130435,77.82608695652173,2.5543478260869565,2020
RS,0.0,1.8478260869565217,1.0869565217391304,3.532608695652174,14.021739130434781,0.0,0.32608695652173914,76.90217391304348,2.282608695652174,2020
UN,5.788043478260869,0.08152173913043478,1.4673913043478262,0.4076086956521739,2.8532608695652173,1.8206521739130435,2.6358695652173916,84.21195652173913,0.7336956521739131,2020
US,5.679347826086956,0.10869565217391304,1.2771739130434783,0.5163043478260869,2.391304347826087,1.684782608695652,0.9782608695652175,86.44021739130436,0.9239130434782609,2020
