Year,Block,ARTR,BRTE,CETE,DF,DS,ELEL,NONE,OTHER,DG
2015,1,4.008152173913043,6.623641304347825,0.0,0.0,0.0,1.766304347826087,85.7336956521739,1.8682065217391304,0.0
2015,2,4.201101928374656,6.577134986225895,0.0,0.0,0.0,1.9283746556473829,84.9862258953168,2.3071625344352618,0.0
2015,3,1.936141304347826,8.084239130434783,0.10190217391304347,0.6793478260869565,0.7472826086956522,1.3247282608695652,85.46195652173914,1.6644021739130437,0.0
2015,4,2.4423337856173677,7.360922659430122,0.0,0.0,0.0,2.1370420624151967,86.53324287652646,1.5264586160108549,0.0
2015,5,3.4782608695652173,4.891304347826087,0.0,0.18115942028985507,0.25362318840579706,2.1739130434782608,86.19565217391305,2.8260869565217392,0.0
2016,1,2.921195652173913,6.657608695652175,0.5095108695652174,0.0,0.7133152173913043,1.4945652173913044,86.41304347826086,1.2907608695652173,0.0
2016,2,2.547554347826087,5.570652173913043,2.6494565217391304,0.6453804347826086,1.5625,1.7323369565217392,80.60461956521739,3.3967391304347823,1.2907608695652173
2016,3,2.479619565217391,6.555706521739131,1.6983695652173911,0.30570652173913043,0.7133152173913043,1.8342391304347827,82.67663043478261,2.751358695652174,0.985054347826087
2016,4,1.8002717391304348,9.782608695652174,0.8152173913043478,0.4076086956521739,0.4755434782608696,2.4456521739130435,82.13315217391305,1.4945652173913044,0.6453804347826086
2016,5,2.5135869565217392,3.804347826086957,1.0190217391304348,1.0529891304347827,0.5095108695652174,1.970108695652174,85.02038043478261,3.498641304347826,0.6114130434782609
2017,1,3.2948369565217392,8.797554347826086,4.415760869565218,0.7472826086956522,0.577445652173913,2.207880434782609,75.71331521739131,2.989130434782609,1.2567934782608696
2017,2,3.3627717391304346,5.163043478260869,6.317934782608696,1.0190217391304348,0.4076086956521739,1.596467391304348,78.09103260869566,3.5665760869565215,0.4755434782608696
2017,3,2.1739130434782608,7.2690217391304355,4.857336956521739,0.8152173913043478,0.7133152173913043,1.8002717391304348,76.7663043478261,4.857336956521739,0.7472826086956522
2017,4,2.6154891304347827,11.548913043478262,3.3967391304347823,0.4755434782608696,0.78125,3.057065217391304,75.03396739130434,1.5625,1.528532608695652
2017,5,3.091032608695652,5.434782608695652,5.536684782608696,0.9171195652173914,0.78125,1.9021739130434785,77.68342391304348,3.7024456521739126,0.9510869565217392
2018,1,4.110054347826087,7.302989130434782,0.7133152173913043,0.7133152173913043,0.10190217391304347,2.9551630434782608,80.87635869565217,1.2907608695652173,1.936141304347826
2018,2,3.4646739130434785,4.823369565217392,0.577445652173913,0.2377717391304348,0.44157608695652173,2.0720108695652173,84.1711956521739,2.751358695652174,1.4605978260869565
2018,3,2.717391304347826,5.672554347826087,0.5095108695652174,0.7472826086956522,0.7472826086956522,3.057065217391304,84.23913043478261,0.8491847826086956,1.4605978260869565
2018,4,2.547554347826087,8.355978260869565,0.4076086956521739,0.20380434782608695,0.6453804347826086,2.7853260869565215,81.58967391304348,0.78125,2.6834239130434785
2018,5,3.6005434782608696,5.095108695652174,0.8152173913043478,0.20380434782608695,0.5095108695652174,2.4456521739130435,84.00135869565217,1.4945652173913044,1.8342391304347827
2019,1,3.532608695652174,10.15625,7.608695652173914,0.0,0.4076086956521739,4.008152173913043,70.92391304347827,3.158967391304348,0.20380434782608695
2019,2,2.717391304347826,6.895380434782608,8.797554347826086,0.0,0.6793478260869565,2.6834239130434785,71.26358695652173,5.842391304347826,1.1209239130434783
2019,3,2.5135869565217392,8.763586956521738,8.967391304347826,0.10190217391304347,0.5434782608695652,4.279891304347826,71.875,2.717391304347826,0.2377717391304348
2019,4,2.751358695652174,12.058423913043478,5.9103260869565215,0.033967391304347824,1.2228260869565217,3.2948369565217392,70.44836956521739,4.042119565217392,0.2377717391304348
2019,5,3.260869565217391,7.710597826086957,8.28804347826087,0.0,0.9171195652173914,3.5665760869565215,72.8600543478261,3.125,0.2717391304347826
2020,1,2.9551630434782608,0.0,0.44157608695652173,0.7472826086956522,1.1209239130434783,1.970108695652174,83.0163043478261,0.985054347826087,8.763586956521738
2020,2,3.057065217391304,2.377717391304348,1.0529891304347827,2.9551630434782608,0.5095108695652174,1.2907608695652173,82.13315217391305,3.498641304347826,3.125
2020,3,2.989130434782609,1.936141304347826,0.8152173913043478,1.9021739130434785,0.78125,2.139945652173913,81.86141304347827,1.7323369565217392,5.842391304347826
2020,4,2.1059782608695654,2.139945652173913,1.8002717391304348,1.936141304347826,0.985054347826087,0.985054347826087,79.92527173913044,0.44157608695652173,9.68070652173913
2020,5,3.260869565217391,1.188858695652174,1.4945652173913044,1.3926630434782608,1.0529891304347827,1.2907608695652173,81.48777173913044,1.0529891304347827,7.778532608695652
2021,1,3.838315217391304,0.0,0.0,0.4076086956521739,0.8152173913043478,1.3247282608695652,88.75679347826086,0.0,4.857336956521739
2021,2,3.9322250639386187,0.0,0.0,2.3657289002557547,0.639386189258312,0.5115089514066496,90.21739130434783,0.1278772378516624,2.2058823529411766
2021,3,2.921195652173913,0.0,0.0,0.9510869565217392,0.8831521739130435,0.78125,91.67798913043478,0.0,2.7853260869565215
2021,4,2.282608695652174,0.0,0.0,1.1956521739130435,0.9782608695652175,0.2898550724637681,89.92753623188405,0.21739130434782608,5.108695652173913
2021,5,3.4307065217391304,0.06793478260869565,0.0,0.6453804347826086,1.1209239130434783,0.5434782608695652,90.0475543478261,0.06793478260869565,4.076086956521739
