Year,Plot,ALAL,ARTR,BRTE,CETE,DEPI,DF,DS,ELEL,HAGL,LEPE,NONE,OTHER,DG,L,WL,W,litter,ALDE
2015,B2N,2.989130434782609,0.0,19.021739130434785,0.0,0.2717391304347826,0.0,0.0,2.4456521739130435,1.0869565217391304,0.0,74.18478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,B2S,0.1358695652173913,2.1739130434782608,3.6684782608695654,0.0,0.6793478260869565,0.0,0.0,2.1739130434782608,2.717391304347826,0.0,87.5,0.9510869565217392,0.0,0.0,0.0,0.0,0.0,0.0
2015,BN,1.1158021712907118,0.0,16.103739445114595,0.0,0.060313630880579006,0.0,0.0,1.8998793727382386,0.39203860072376356,0.12062726176115801,80.27744270205066,0.030156815440289503,0.0,0.0,0.0,0.0,0.0,0.0
2015,BS,0.0319693094629156,0.0,6.969309462915602,0.0959079283887468,0.41560102301790286,0.7033248081841432,0.0,1.2148337595907928,3.7723785166240407,0.319693094629156,85.83759590792839,0.639386189258312,0.0,0.0,0.0,0.0,0.0,0.0
2015,U1N,0.5434782608695652,7.336956521739131,2.989130434782609,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,0.0,86.68478260869566,0.2717391304347826,0.0,0.0,0.0,0.0,0.0,0.0
2015,U2N,0.0,8.967391304347826,0.2717391304347826,0.0,0.0,0.0,0.0,2.989130434782609,0.0,0.0,87.77173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,U2S,0.0,10.054347826086957,0.2717391304347826,0.0,0.0,0.0,0.0,1.6304347826086956,0.0,0.0,88.04347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,UN,0.0,6.095041322314049,2.3071625344352618,0.0,0.0,0.10330578512396695,0.4476584022038568,2.3415977961432506,0.10330578512396695,0.0,88.56749311294766,0.03443526170798898,0.0,0.0,0.0,0.0,0.0,0.0
2015,US,0.0,5.944293478260869,1.596467391304348,0.0,0.06793478260869565,0.0,0.5434782608695652,1.7323369565217392,0.4076086956521739,0.033967391304347824,89.53804347826086,0.1358695652173913,0.0,0.0,0.0,0.0,0.0,0.0
2016,BN,1.9293478260869565,0.0,15.59782608695652,0.32608695652173914,0.02717391304347826,0.24456521739130438,0.19021739130434784,1.684782608695652,0.05434782608695652,0.08152173913043478,77.82608695652173,0.08152173913043478,1.875,0.0,0.08152173913043478,0.0,0.0,0.0
2016,BS,0.0,0.0,7.79891304347826,3.4239130434782608,0.5706521739130435,1.3858695652173914,0.10869565217391304,1.0869565217391304,3.91304347826087,1.4673913043478262,79.53804347826086,0.08152173913043478,0.5706521739130435,0.0,0.05434782608695652,0.0,0.0,0.0
2016,UN,0.0,5.163043478260869,1.7391304347826086,0.7880434782608695,0.05434782608695652,0.16304347826086957,1.4673913043478262,2.9619565217391304,0.46195652173913043,0.0,86.875,0.0,0.19021739130434784,0.08152173913043478,0.05434782608695652,0.0,0.0,0.0
