Block,ALDE,ARTR,BRTE,CETE,DEPI,ELEL,HAGL,LEPE,NONE,OTHER,Year
1,2.083333333333333,5.034722222222222,9.722222222222223,8.506944444444445,0.1736111111111111,1.5625,0.0,0.1736111111111111,69.96527777777779,2.7777777777777777,2024
2,1.9097222222222223,3.8194444444444446,11.284722222222223,7.8125,0.0,0.6944444444444444,0.3472222222222222,0.5208333333333333,70.13888888888889,3.4722222222222223,2024
3,3.125,2.083333333333333,10.416666666666668,5.208333333333334,0.1736111111111111,2.083333333333333,0.0,0.3472222222222222,76.38888888888889,0.1736111111111111,2024
4,1.7361111111111112,1.215277777777778,11.805555555555555,4.6875,1.5625,0.0,0.0,0.0,78.99305555555556,0.0,2024
5,2.604166666666667,4.166666666666666,9.20138888888889,6.423611111111111,0.0,0.3472222222222222,0.0,0.0,76.90972222222221,0.3472222222222222,2024
