Plot,ARTR,BRTE,CETE,DF,DG,DS,ELEL,NONE,OTHER,Year
BN,0.0,15.59782608695652,0.32608695652173914,0.24456521739130438,1.875,0.19021739130434784,1.684782608695652,77.82608695652173,2.255434782608696,2016
BS,0.0,7.79891304347826,3.4239130434782608,1.3858695652173914,0.5706521739130435,0.10869565217391304,1.0869565217391304,79.53804347826086,6.086956521739131,2016
UN,5.163043478260869,1.7391304347826086,0.7880434782608695,0.16304347826086957,0.19021739130434784,1.4673913043478262,2.9619565217391304,86.875,0.6521739130434783,2016
US,4.646739130434783,0.7608695652173914,0.8152173913043478,0.1358695652173913,0.19021739130434784,1.4130434782608696,1.8478260869565217,89.23913043478261,0.9510869565217392,2016
