Block,ALAL,ARTR,BRTE,CETE,DEPI,DF,DG,DS,ELEL,HAGL,L,LEPE,NONE,OTHER,WL,Year
1,0.2377717391304348,3.2948369565217392,8.797554347826086,4.415760869565218,0.20380434782608695,0.7472826086956522,1.2567934782608696,0.577445652173913,2.207880434782609,0.0,1.4266304347826086,0.7133152173913043,75.71331521739131,0.2377717391304348,0.16983695652173914,2017
2,0.5434782608695652,3.3627717391304346,5.163043478260869,6.317934782608696,0.1358695652173913,1.0190217391304348,0.4755434782608696,0.4076086956521739,1.596467391304348,0.0,1.2567934782608696,1.3926630434782608,78.09103260869566,0.0,0.2377717391304348,2017
3,0.033967391304347824,2.1739130434782608,7.2690217391304355,4.857336956521739,0.0,0.8152173913043478,0.7472826086956522,0.7133152173913043,1.8002717391304348,0.0,1.0869565217391304,3.3288043478260874,76.7663043478261,0.10190217391304347,0.30570652173913043,2017
4,0.16983695652173914,2.6154891304347827,11.548913043478262,3.3967391304347823,0.4076086956521739,0.4755434782608696,1.528532608695652,0.78125,3.057065217391304,0.06793478260869565,0.78125,0.10190217391304347,75.03396739130434,0.033967391304347824,0.0,2017
5,0.8491847826086956,3.091032608695652,5.434782608695652,5.536684782608696,0.9510869565217392,0.9171195652173914,0.9510869565217392,0.78125,1.9021739130434785,0.0,1.596467391304348,0.033967391304347824,77.68342391304348,0.16983695652173914,0.10190217391304347,2017
