Block,ARTR,BRTE,CETE,DF,DG,DS,ELEL,NONE,OTHER,Year
1,2.921195652173913,6.657608695652175,0.5095108695652174,0.0,0.0,0.7133152173913043,1.4945652173913044,86.41304347826086,1.2907608695652173,2016
2,2.547554347826087,5.570652173913043,2.6494565217391304,0.6453804347826086,1.2907608695652173,1.5625,1.7323369565217392,80.60461956521739,3.3967391304347823,2016
3,2.479619565217391,6.555706521739131,1.6983695652173911,0.30570652173913043,0.985054347826087,0.7133152173913043,1.8342391304347827,82.67663043478261,2.751358695652174,2016
4,1.8002717391304348,9.782608695652174,0.8152173913043478,0.4076086956521739,0.6453804347826086,0.4755434782608696,2.4456521739130435,82.13315217391305,1.4945652173913044,2016
5,2.5135869565217392,3.804347826086957,1.0190217391304348,1.0529891304347827,0.6114130434782609,0.5095108695652174,1.970108695652174,85.02038043478261,3.498641304347826,2016
