Block,ALAL,ARTR,BRTE,CETE,DEPI,DF,DG,DS,ELEL,HAGL,L,LEPE,NONE,OTHER,W,WL,Year
1,1.2907608695652173,3.532608695652174,10.15625,7.608695652173914,0.4755434782608696,0.0,0.20380434782608695,0.4076086956521739,4.008152173913043,0.0,0.2377717391304348,0.6453804347826086,70.92391304347827,0.06793478260869565,0.4076086956521739,0.033967391304347824,2019
2,2.411684782608696,2.717391304347826,6.895380434782608,8.797554347826086,0.033967391304347824,0.0,1.1209239130434783,0.6793478260869565,2.6834239130434785,0.0,0.44157608695652173,2.411684782608696,71.26358695652173,0.10190217391304347,0.44157608695652173,0.0,2019
3,0.3736413043478261,2.5135869565217392,8.763586956521738,8.967391304347826,0.1358695652173913,0.10190217391304347,0.2377717391304348,0.5434782608695652,4.279891304347826,0.0,0.8491847826086956,1.154891304347826,71.875,0.0,0.20380434782608695,0.0,2019
4,1.2567934782608696,2.751358695652174,12.058423913043478,5.9103260869565215,1.3926630434782608,0.033967391304347824,0.2377717391304348,1.2228260869565217,3.2948369565217392,0.033967391304347824,0.78125,0.06793478260869565,70.44836956521739,0.0,0.5095108695652174,0.0,2019
5,2.2418478260869565,3.260869565217391,7.710597826086957,8.28804347826087,0.06793478260869565,0.0,0.2717391304347826,0.9171195652173914,3.5665760869565215,0.0,0.44157608695652173,0.0,72.8600543478261,0.033967391304347824,0.30570652173913043,0.033967391304347824,2019
