Block,ARTR,BRTE,CETE,DF,DG,DS,ELEL,NONE,OTHER,Year
1,2.9551630434782608,0.0,0.44157608695652173,0.7472826086956522,8.763586956521738,1.1209239130434783,1.970108695652174,83.0163043478261,0.985054347826087,2020
2,3.057065217391304,2.377717391304348,1.0529891304347827,2.9551630434782608,3.125,0.5095108695652174,1.2907608695652173,82.13315217391305,3.498641304347826,2020
3,2.989130434782609,1.936141304347826,0.8152173913043478,1.9021739130434785,5.842391304347826,0.78125,2.139945652173913,81.86141304347827,1.7323369565217392,2020
4,2.1059782608695654,2.139945652173913,1.8002717391304348,1.936141304347826,9.68070652173913,0.985054347826087,0.985054347826087,79.92527173913044,0.44157608695652173,2020
5,3.260869565217391,1.188858695652174,1.4945652173913044,1.3926630434782608,7.778532608695652,1.0529891304347827,1.2907608695652173,81.48777173913044,1.0529891304347827,2020
