Block,ARTR,BRTE,CETE,DF,DS,ELEL,NONE,OTHER,Year
1,4.008152173913043,6.623641304347825,0.0,0.0,0.0,1.766304347826087,85.7336956521739,1.8682065217391304,2015
2,4.201101928374656,6.577134986225895,0.0,0.0,0.0,1.9283746556473829,84.9862258953168,2.3071625344352618,2015
3,1.936141304347826,8.084239130434783,0.10190217391304347,0.6793478260869565,0.7472826086956522,1.3247282608695652,85.46195652173914,1.6644021739130437,2015
4,2.4423337856173677,7.360922659430122,0.0,0.0,0.0,2.1370420624151967,86.53324287652646,1.5264586160108549,2015
5,3.4782608695652173,4.891304347826087,0.0,0.18115942028985507,0.25362318840579706,2.1739130434782608,86.19565217391305,2.8260869565217392,2015
