Plot,ARTR,BRTE,DF,DG,DS,ELEL,NONE,OTHER,Year
BN,1.358695652173913,0.04528985507246377,1.5398550724637683,5.797101449275362,0.36231884057971014,1.0416666666666665,89.80978260869566,0.04528985507246377,2021
BS,0.0,0.0,2.5966183574879227,3.7439613526570046,0.0,0.06038647342995169,93.53864734299518,0.06038647342995169,2021
OTHER,0.0,0.0,0.5434782608695652,2.717391304347826,0.0,0.0,96.73913043478261,0.0,2021
RN,0.0,0.0,2.0652173913043477,5.217391304347826,0.05434782608695652,1.4673913043478262,91.19565217391305,0.0,2021
RS,0.0,0.0,1.5217391304347827,6.467391304347826,0.0,0.10869565217391304,91.90217391304348,0.0,2021
UN,6.321510297482838,0.028604118993135013,0.2288329519450801,3.1750572082379867,2.030892448512586,1.2299771167048055,86.8421052631579,0.14302059496567504,2021
US,6.721967963386728,0.0,0.40045766590389015,0.9725400457665904,1.4302059496567507,0.17162471395881007,90.16018306636155,0.14302059496567504,2021
