DATE,Block,Plot,AMDU,ASNU,BRRU,CORA,DG,ERCI,LATR,NONE,OTHER,SCAR
2015,1,B?,0.0,0.0,1.6304347826086956,0.0,0.0,0.0,0.0,88.58695652173914,1.0869565217391304,8.695652173913043
2015,1,BN,0.0,0.5434782608695652,2.8532608695652173,0.0,0.0,0.4076086956521739,0.0,86.41304347826086,2.309782608695652,7.4728260869565215
2015,1,BS,0.0,1.2681159420289856,3.4420289855072466,0.18115942028985507,0.0,0.9057971014492754,0.0,81.70289855072464,1.4492753623188406,11.05072463768116
2015,1,UN,0.5434782608695652,0.4076086956521739,4.3478260869565215,0.8152173913043478,0.0,0.2717391304347826,1.358695652173913,82.88043478260869,3.125,6.25
2015,1,US,0.2717391304347826,0.0,2.5815217391304346,1.4945652173913044,0.0,0.1358695652173913,0.1358695652173913,86.54891304347827,3.3967391304347823,5.434782608695652
2015,2,BN,0.4076086956521739,1.0869565217391304,4.891304347826087,0.1358695652173913,0.0,0.0,0.5434782608695652,80.02717391304348,3.804347826086957,9.103260869565217
2015,2,BS,0.5434782608695652,0.0,2.309782608695652,0.5434782608695652,0.0,0.0,0.9510869565217392,83.69565217391305,3.260869565217391,8.695652173913043
2015,2,UN,1.2228260869565217,1.2228260869565217,3.260869565217391,0.8152173913043478,0.0,0.0,0.4076086956521739,84.64673913043478,3.532608695652174,4.891304347826087
2015,2,US,0.546448087431694,0.4098360655737705,2.5956284153005464,0.9562841530054645,0.0,0.0,2.185792349726776,79.91803278688525,2.8688524590163933,10.51912568306011
2015,3,BN,0.0,1.2228260869565217,3.260869565217391,0.0,0.6793478260869565,0.4076086956521739,0.6793478260869565,78.94021739130434,4.3478260869565215,10.46195652173913
2015,3,BS,0.0,0.6793478260869565,0.9510869565217392,0.0,0.0,0.2717391304347826,0.0,80.70652173913044,3.3967391304347823,13.994565217391305
2015,3,UN,2.309782608695652,0.6793478260869565,5.298913043478261,1.6304347826086956,0.0,0.1358695652173913,2.717391304347826,78.26086956521739,2.989130434782609,5.978260869565218
2015,3,US,1.1956521739130435,0.43478260869565216,3.91304347826087,0.5434782608695652,0.0,0.0,2.8260869565217392,79.67391304347827,4.239130434782608,7.173913043478261
2015,4,BN,0.1358695652173913,1.9021739130434785,0.8152173913043478,0.0,0.1358695652173913,0.0,0.2717391304347826,83.69565217391305,2.4456521739130435,10.597826086956522
2015,4,BS,0.5434782608695652,0.4076086956521739,1.2228260869565217,0.0,0.0,0.5434782608695652,0.1358695652173913,81.65760869565217,1.766304347826087,13.722826086956522
2015,4,UN,0.6793478260869565,2.717391304347826,3.260869565217391,1.6304347826086956,0.1358695652173913,0.0,0.2717391304347826,82.74456521739131,5.0271739130434785,3.532608695652174
2015,4,US,0.6830601092896175,0.273224043715847,2.73224043715847,0.9562841530054645,0.1366120218579235,0.1366120218579235,1.7759562841530054,79.91803278688525,3.9617486338797816,9.426229508196721
2015,5,BN,0.5434782608695652,2.1739130434782608,0.8152173913043478,0.4076086956521739,0.0,0.0,0.9510869565217392,80.97826086956522,3.260869565217391,10.869565217391305
2015,5,BS,0.1358695652173913,0.6793478260869565,0.0,0.0,0.0,0.0,0.2717391304347826,84.23913043478261,0.6793478260869565,13.994565217391305
2015,5,UN,0.7246376811594203,1.0869565217391304,2.355072463768116,1.9927536231884055,0.0,0.0,1.2681159420289856,85.14492753623189,1.6304347826086956,5.797101449275362
2015,5,US,1.358695652173913,0.6793478260869565,1.4945652173913044,2.0380434782608696,0.0,0.0,1.2228260869565217,83.0163043478261,2.8532608695652173,7.336956521739131
2016,1,BN,0.2717391304347826,0.2717391304347826,4.3478260869565215,0.0,0.1358695652173913,2.1739130434782608,0.2717391304347826,78.53260869565217,4.076086956521739,9.918478260869565
2016,1,BS,0.0,0.1358695652173913,3.6684782608695654,0.0,0.1358695652173913,1.358695652173913,0.1358695652173913,78.80434782608695,3.6684782608695654,12.092391304347826
2016,1,UN,0.9510869565217392,0.2717391304347826,5.298913043478261,1.2228260869565217,0.0,0.4076086956521739,1.0869565217391304,81.92934782608695,3.940217391304348,4.891304347826087
2016,1,US,0.273224043715847,0.0,4.508196721311475,1.639344262295082,0.0,0.273224043715847,0.273224043715847,83.06010928961749,3.9617486338797816,6.0109289617486334
2016,2,BN,0.0,0.4076086956521739,10.733695652173914,0.4076086956521739,4.211956521739131,1.766304347826087,0.9510869565217392,72.41847826086956,3.940217391304348,5.163043478260869
2016,2,BS,0.4076086956521739,0.0,7.065217391304348,0.9510869565217392,3.6684782608695654,1.9021739130434785,0.6793478260869565,75.81521739130434,3.260869565217391,6.25
2016,2,UN,1.6304347826086956,0.5434782608695652,6.657608695652175,1.4945652173913044,2.989130434782609,0.5434782608695652,0.5434782608695652,77.58152173913044,3.6684782608695654,4.3478260869565215
2016,2,US,0.2717391304347826,0.5434782608695652,5.570652173913043,1.4945652173913044,0.0,0.5434782608695652,2.717391304347826,73.91304347826086,4.076086956521739,10.869565217391305
2016,3,BN,0.1358695652173913,0.2717391304347826,7.608695652173914,0.0,2.1739130434782608,0.6793478260869565,0.1358695652173913,75.67934782608695,4.483695652173913,8.831521739130435
2016,3,BS,0.0,0.1358695652173913,5.570652173913043,0.0,1.4945652173913044,1.9021739130434785,0.8152173913043478,72.69021739130434,4.076086956521739,13.31521739130435
2016,3,UN,1.4945652173913044,0.1358695652173913,9.918478260869565,1.4945652173913044,2.0380434782608696,0.2717391304347826,2.5815217391304346,74.04891304347827,2.989130434782609,5.0271739130434785
