Block,AMDU,ASNU,BRRU,CORA,ERCI,LATR,NONE,OTHER,SCAR,Year
1,0.3472222222222222,4.6875,7.291666666666667,0.3472222222222222,3.6458333333333335,0.8680555555555556,67.88194444444444,3.9930555555555554,10.9375,2023
2,0.3472222222222222,6.25,9.027777777777777,0.3472222222222222,2.7777777777777777,1.5625,67.1875,5.381944444444445,7.118055555555555,2023
3,0.8741258741258742,4.370629370629371,6.293706293706294,0.5244755244755245,3.6713286713286712,1.3986013986013985,69.75524475524476,5.944055944055944,7.167832167832168,2023
4,0.0,2.083333333333333,3.9930555555555554,1.3888888888888888,1.7361111111111112,0.5208333333333333,78.99305555555556,6.423611111111111,4.861111111111112,2023
5,0.5319148936170213,1.0638297872340425,3.0141843971631204,0.7092198581560284,2.127659574468085,0.8865248226950355,81.38297872340425,2.8368794326241136,7.446808510638298,2023
