Block,AMDU,ASNU,BRRU,CORA,DG,ERCI,LATR,NONE,OTHER,SCAR,Year
1,0.7472826086956522,0.10190217391304347,7.608695652173914,1.3247282608695652,1.8342391304347827,2.377717391304348,0.6114130434782609,80.77445652173914,2.0720108695652173,2.547554347826087,2017
2,0.3736413043478261,0.1358695652173913,6.7934782608695645,0.6114130434782609,1.9021739130434785,1.528532608695652,1.0529891304347827,83.28804347826086,2.6834239130434785,1.6304347826086956,2017
3,0.6114130434782609,0.2377717391304348,8.050271739130435,0.78125,1.528532608695652,1.970108695652174,0.78125,79.34782608695652,2.751358695652174,3.940217391304348,2017
4,1.188858695652174,0.06793478260869565,5.163043478260869,0.6793478260869565,0.2717391304347826,0.9510869565217392,0.985054347826087,84.78260869565217,3.3288043478260874,2.5815217391304346,2017
5,0.8831521739130435,0.1358695652173913,5.332880434782608,0.9171195652173914,0.8831521739130435,0.9171195652173914,1.2228260869565217,82.03125,3.532608695652174,4.144021739130435,2017
