Plot,AMDU,ASNU,BRRU,CORA,DG,ERCI,LATR,NONE,OTHER,SCAR,Year
BN,0.5434782608695652,0.2717391304347826,6.304347826086956,0.2717391304347826,2.4456521739130435,2.119565217391304,0.3804347826086957,82.28260869565217,3.206521739130435,2.1739130434782608,2017
BS,0.32608695652173914,0.10869565217391304,5.923913043478261,0.32608695652173914,2.010869565217391,1.5217391304347827,0.43478260869565216,81.57608695652175,2.391304347826087,5.380434782608696,2017
RN,0.10869565217391304,0.3804347826086957,6.630434782608696,0.0,0.05434782608695652,3.260869565217391,0.16304347826086957,81.95652173913044,3.0434782608695654,4.4021739130434785,2017
RS,0.10869565217391304,0.10869565217391304,5.543478260869565,0.05434782608695652,0.21739130434782608,3.315217391304348,0.3804347826086957,84.6195652173913,1.7934782608695652,3.858695652173913,2017
UN,1.440217391304348,0.08152173913043478,7.255434782608695,1.7119565217391304,1.25,0.7065217391304348,1.3858695652173914,81.68478260869566,2.7717391304347827,1.7119565217391304,2017
US,1.059782608695652,0.02717391304347826,6.9021739130434785,1.4130434782608696,1.5217391304347827,0.3804347826086957,1.657608695652174,81.27717391304347,3.5054347826086953,2.255434782608696,2017
