Plot,AMDU,ASNU,BAMU,BRRU,CAFL,CORA,CYAC,ERCI,LATR,LELA,NONE,OTHER,SCAR,THMO,YUBR,Year
BN,0.1404494382022472,7.865168539325842,0.1404494382022472,6.741573033707865,0.2808988764044944,0.0,0.0,4.353932584269663,0.5617977528089888,1.6853932584269662,68.67977528089888,1.8258426966292134,7.724719101123595,0.0,0.0,2023
BS,0.0,2.653631284916201,0.0,4.4692737430167595,0.27932960893854747,0.5586592178770949,0.0,3.7709497206703912,1.1173184357541899,2.3743016759776534,72.48603351955308,1.1173184357541899,10.614525139664805,0.13966480446927373,0.41899441340782123,2023
UN,0.5555555555555556,3.6111111111111107,0.0,6.111111111111111,0.2777777777777778,1.3888888888888888,0.1388888888888889,1.25,0.5555555555555556,2.7777777777777777,75.27777777777777,2.5,5.138888888888888,0.1388888888888889,0.2777777777777778,2023
US,0.9776536312849162,0.6983240223463687,0.0,6.424581005586592,0.5586592178770949,0.6983240223463687,0.27932960893854747,1.8156424581005588,1.9553072625698324,2.5139664804469275,75.5586592178771,1.9553072625698324,6.564245810055866,0.0,0.0,2023
