Plot,ASNU,BRRU,CORA,ERCI,LATR,NONE,OTHER,SCAR,Year
BN,2.361111111111111,4.583333333333333,0.1388888888888889,2.7777777777777777,0.1388888888888889,79.44444444444444,6.666666666666667,3.888888888888889,2024
BS,0.8333333333333334,5.138888888888888,0.0,2.5,1.1111111111111112,77.22222222222223,8.194444444444445,5.0,2024
UN,1.5277777777777777,6.388888888888888,1.3888888888888888,0.8333333333333334,0.5555555555555556,81.52777777777777,6.25,1.5277777777777777,2024
US,0.4166666666666667,4.166666666666666,0.2777777777777778,0.6944444444444444,0.5555555555555556,82.36111111111111,7.083333333333333,4.444444444444445,2024
