Year,Block,AMDU,ASNU,BRRU,CORA,DG,ERCI,LATR,NONE,OTHER,SCAR
2015,1,0.20380434782608695,0.4755434782608696,3.192934782608696,0.6114130434782609,0.0,0.3736413043478261,0.3736413043478261,84.81657608695652,2.547554347826087,7.404891304347825
2015,2,0.6802721088435374,0.6802721088435374,3.2653061224489797,0.6122448979591837,0.0,0.0,1.0204081632653061,82.07482993197279,3.36734693877551,8.299319727891156
2015,3,0.8951406649616368,0.7352941176470588,3.3887468030690537,0.5434782608695652,0.159846547314578,0.1918158567774936,1.6304347826086956,79.41176470588235,3.7723785166240407,9.271099744245523
2015,4,0.5102040816326531,1.3265306122448979,2.0068027210884356,0.6462585034013605,0.10204081632653061,0.17006802721088435,0.6122448979591837,82.00680272108843,3.2993197278911564,9.319727891156463
2015,5,0.6884057971014492,1.1594202898550725,1.0869565217391304,1.0507246376811594,0.0,0.0,0.9057971014492754,83.22463768115942,2.1376811594202896,9.746376811594203
2016,1,0.37414965986394555,0.17006802721088435,4.45578231292517,0.7142857142857143,0.06802721088435373,1.0544217687074828,0.44217687074829937,80.57823129251702,3.9115646258503403,8.231292517006802
2016,2,0.577445652173913,0.3736413043478261,7.506793478260869,1.0869565217391304,2.717391304347826,1.188858695652174,1.2228260869565217,74.93206521739131,3.7364130434782608,6.657608695652175
2016,3,0.6114130434782609,0.1358695652173913,7.065217391304348,0.6453804347826086,1.6644021739130437,0.8152173913043478,1.2567934782608696,74.62635869565217,4.076086956521739,9.103260869565217
2016,4,0.8831521739130435,0.1358695652173913,3.057065217391304,1.2907608695652173,0.985054347826087,0.9171195652173914,1.0190217391304348,79.58559782608695,3.90625,8.220108695652174
2016,5,1.0190217391304348,0.30570652173913043,3.057065217391304,0.78125,0.577445652173913,0.4755434782608696,0.9510869565217392,79.95923913043478,3.125,9.748641304347826
2017,1,0.7472826086956522,0.10190217391304347,7.608695652173914,1.3247282608695652,1.8342391304347827,2.377717391304348,0.6114130434782609,80.77445652173914,2.0720108695652173,2.547554347826087
2017,2,0.3736413043478261,0.1358695652173913,6.7934782608695645,0.6114130434782609,1.9021739130434785,1.528532608695652,1.0529891304347827,83.28804347826086,2.6834239130434785,1.6304347826086956
2017,3,0.6114130434782609,0.2377717391304348,8.050271739130435,0.78125,1.528532608695652,1.970108695652174,0.78125,79.34782608695652,2.751358695652174,3.940217391304348
2017,4,1.188858695652174,0.06793478260869565,5.163043478260869,0.6793478260869565,0.2717391304347826,0.9510869565217392,0.985054347826087,84.78260869565217,3.3288043478260874,2.5815217391304346
2017,5,0.8831521739130435,0.1358695652173913,5.332880434782608,0.9171195652173914,0.8831521739130435,0.9171195652173914,1.2228260869565217,82.03125,3.532608695652174,4.144021739130435
2018,1,0.577445652173913,0.16983695652173914,5.332880434782608,1.2567934782608696,0.0,1.766304347826087,0.4755434782608696,84.06929347826086,1.936141304347826,4.415760869565218
2018,2,0.9171195652173914,0.1358695652173913,7.438858695652175,1.0869565217391304,0.0,0.7133152173913043,0.8491847826086956,83.76358695652173,1.9021739130434785,3.192934782608696
2018,3,0.6793478260869565,0.2377717391304348,4.619565217391304,0.3736413043478261,2.275815217391304,0.8152173913043478,0.6793478260869565,81.55570652173914,2.8872282608695654,5.876358695652174
2018,4,0.8152173913043478,0.033967391304347824,3.974184782608696,1.0190217391304348,3.158967391304348,0.2717391304347826,1.154891304347826,80.29891304347827,3.6005434782608696,5.672554347826087
2018,5,1.1209239130434783,0.033967391304347824,3.532608695652174,0.4755434782608696,2.207880434782609,0.1358695652173913,0.5095108695652174,83.18614130434783,3.260869565217391,5.536684782608696
2019,1,0.319693094629156,2.749360613810742,9.878516624040921,1.118925831202046,0.2557544757033248,3.7404092071611252,0.639386189258312,66.30434782608695,4.443734015345269,10.549872122762148
2019,2,0.6159420289855073,4.528985507246377,11.73913043478261,0.43478260869565216,0.8333333333333334,3.0797101449275366,1.0507246376811594,61.95652173913043,5.797101449275362,9.96376811594203
2019,3,0.5095108695652174,3.4646739130434785,11.277173913043478,0.577445652173913,0.20380434782608695,3.4307065217391304,0.9171195652173914,64.09646739130434,4.619565217391304,10.903532608695652
2019,4,0.8491847826086956,3.5665760869565215,6.521739130434782,0.985054347826087,0.2377717391304348,3.057065217391304,1.2228260869565217,70.8899456521739,3.532608695652174,9.137228260869565
2019,5,1.1209239130434783,3.057065217391304,7.506793478260869,0.8491847826086956,0.20380434782608695,0.8152173913043478,0.8491847826086956,69.39538043478261,4.211956521739131,11.990489130434783
2020,1,0.4755434782608696,1.0190217391304348,13.654891304347828,0.577445652173913,7.438858695652175,3.2948369565217392,0.8491847826086956,68.75,3.7364130434782608,0.20380434782608695
2020,2,0.5095108695652174,1.6304347826086956,14.673913043478262,0.7472826086956522,7.438858695652175,2.377717391304348,0.8491847826086956,66.74592391304348,4.755434782608696,0.2717391304347826
2020,3,0.9057971014492754,1.4130434782608696,13.152173913043477,0.5434782608695652,5.0,3.4782608695652173,1.0507246376811594,69.56521739130434,4.673913043478261,0.21739130434782608
2020,4,0.7133152173913043,0.6793478260869565,13.485054347826086,1.2567934782608696,5.8084239130434785,1.3247282608695652,1.6304347826086956,68.58016304347827,6.182065217391304,0.33967391304347827
2020,5,0.985054347826087,1.188858695652174,13.24728260869565,0.8152173913043478,5.264945652173913,1.8002717391304348,1.0190217391304348,70.21059782608695,4.789402173913043,0.6793478260869565
2021,1,0.4076086956521739,0.06793478260869565,3.3967391304347823,0.8152173913043478,10.767663043478262,1.0529891304347827,1.0869565217391304,80.12907608695652,2.275815217391304,0.0
