Plot,ACSP,ALAL,AMDU,ASNU,BAMU,BRRU,CAFL,CORA,CYAC,DF,DG,DS,ERCI,KRER,KRGR,L,LATR,NONE,OTHER,SCAR,THMO,WL,YUBR,Year
BN,0.09881422924901186,0.24703557312252966,1.1363636363636365,0.04940711462450593,0.04940711462450593,4.792490118577075,0.0,0.14822134387351776,0.1976284584980237,0.09881422924901186,1.5810276679841897,0.3458498023715415,1.33399209486166,0.14822134387351776,0.2964426877470355,0.04940711462450593,0.8399209486166008,82.95454545454545,0.691699604743083,4.545454545454546,0.1976284584980237,0.0,0.1976284584980237,2018
BS,0.16304347826086957,0.2717391304347826,0.10869565217391304,0.21739130434782608,0.0,3.804347826086957,0.0,0.3804347826086957,0.0,0.0,1.7391304347826086,0.6521739130434783,0.7608695652173914,0.0,0.05434782608695652,0.0,0.2717391304347826,82.28260869565217,0.3804347826086957,7.173913043478261,0.43478260869565216,0.43478260869565216,0.8695652173913043,2018
RN,0.0,0.10869565217391304,0.16304347826086957,0.32608695652173914,0.10869565217391304,5.271739130434783,0.0,0.0,0.10869565217391304,0.10869565217391304,0.5434782608695652,0.9782608695652175,1.4130434782608696,0.0,0.0,0.0,0.2717391304347826,84.67391304347827,0.32608695652173914,5.597826086956522,0.0,0.0,0.0,2018
RS,0.0,0.10869565217391304,0.32608695652173914,0.0,0.0,4.673913043478261,0.05434782608695652,0.0,0.10869565217391304,0.0,1.141304347826087,0.6521739130434783,1.684782608695652,0.0,0.16304347826086957,0.0,0.7608695652173914,81.90217391304347,0.32608695652173914,8.043478260869565,0.05434782608695652,0.0,0.0,2018
UN,0.20022883295194507,0.14302059496567504,1.3443935926773456,0.14302059496567504,0.0,5.034324942791762,0.0,1.9164759725400458,0.057208237986270026,0.057208237986270026,1.6876430205949657,0.5720823798627002,0.2288329519450801,0.2288329519450801,0.34324942791762014,0.14302059496567504,0.8581235697940504,83.09496567505721,0.4576659038901602,2.717391304347826,0.3146453089244851,0.08581235697940504,0.3718535469107552,2018
US,0.43478260869565216,0.02717391304347826,1.0869565217391304,0.05434782608695652,0.0,5.625,0.0,1.2771739130434783,0.32608695652173914,0.0,1.9293478260869565,0.2717391304347826,0.08152173913043478,0.3532608695652174,0.625,0.10869565217391304,1.0054347826086956,81.30434782608695,0.3532608695652174,4.266304347826087,0.32608695652173914,0.16304347826086957,0.3804347826086957,2018
