Plot,ALAL,AMDU,ASNU,BAMU,BRRU,CAFL,CORA,CYAC,DEPI,DF,DG,DS,ERCI,KRAME,KRER,KRGR,L,LATR,NONE,OTHER,SCAR,THMO,YUBR,Year
B?,0.0,0.0,0.0,0.0,1.6304347826086956,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.58695652173914,0.0,8.695652173913043,0.0,0.0,2015
BN,0.0,0.21739130434782608,1.3858695652173914,0.05434782608695652,2.527173913043478,0.0,0.10869565217391304,0.08152173913043478,1.6304347826086956,0.02717391304347826,0.16304347826086957,0.7065217391304348,0.16304347826086957,0.05434782608695652,0.08152173913043478,0.0,0.02717391304347826,0.48913043478260876,82.01086956521739,0.16304347826086957,9.701086956521738,0.0,0.4076086956521739,2015
BS,0.028604118993135013,0.2574370709382151,0.5720823798627002,0.08581235697940504,1.4874141876430207,0.0,0.14302059496567504,0.028604118993135013,1.0297482837528604,0.0,0.0,0.6006864988558352,0.3146453089244851,0.028604118993135013,0.0,0.0,0.0,0.2860411899313501,82.4370709382151,0.17162471395881007,12.356979405034325,0.028604118993135013,0.14302059496567504,2015
UN,0.028604118993135013,1.1155606407322656,1.2299771167048055,0.028604118993135013,3.775743707093822,0.0,1.3443935926773456,0.11441647597254005,0.5148741418764302,0.0,0.028604118993135013,0.8867276887871853,0.08581235697940504,0.5720823798627002,0.0,0.028604118993135013,0.057208237986270026,1.2013729977116705,82.6086956521739,0.4862700228832952,5.263157894736842,0.2860411899313501,0.34324942791762014,2015
US,0.025933609958506226,0.8298755186721992,0.3630705394190871,0.0,2.7230290456431536,0.025933609958506226,1.1670124481327802,0.07780082987551867,0.6742738589211619,0.0,0.025933609958506226,0.7780082987551867,0.05186721991701245,0.46680497925311204,0.05186721991701245,0.05186721991701245,0.0,1.6856846473029046,81.71680497925311,0.46680497925311204,7.935684647302904,0.2593360995850622,0.6224066390041494,2015
