Block,ACSP,ALAL,AMDU,ASNU,BAMU,BRRU,CAFL,CORA,CYAC,DF,DG,DS,ERCI,KRER,KRGR,L,LATR,NONE,OTHER,SCAR,THMO,WL,YUBR,Year
1,0.10190217391304347,0.20380434782608695,0.4755434782608696,1.0190217391304348,0.4755434782608696,13.654891304347828,0.33967391304347827,0.577445652173913,0.033967391304347824,0.577445652173913,7.438858695652175,0.6114130434782609,3.2948369565217392,0.10190217391304347,0.0,0.2377717391304348,0.8491847826086956,68.75,0.2377717391304348,0.20380434782608695,0.5434782608695652,0.1358695652173913,0.1358695652173913,2020
2,0.1358695652173913,0.8152173913043478,0.5095108695652174,1.6304347826086956,0.20380434782608695,14.673913043478262,0.16983695652173914,0.7472826086956522,0.06793478260869565,1.9021739130434785,7.438858695652175,0.2377717391304348,2.377717391304348,0.1358695652173913,0.16983695652173914,0.3736413043478261,0.8491847826086956,66.74592391304348,0.3736413043478261,0.2717391304347826,0.0,0.10190217391304347,0.06793478260869565,2020
3,0.10869565217391304,0.8695652173913043,0.9057971014492754,1.4130434782608696,0.036231884057971016,13.152173913043477,0.25362318840579706,0.5434782608695652,0.036231884057971016,2.101449275362319,5.0,0.10869565217391304,3.4782608695652173,0.10869565217391304,0.18115942028985507,0.18115942028985507,1.0507246376811594,69.56521739130434,0.36231884057971014,0.21739130434782608,0.07246376811594203,0.0,0.25362318840579706,2020
4,0.16983695652173914,0.985054347826087,0.7133152173913043,0.6793478260869565,0.1358695652173913,13.485054347826086,0.33967391304347827,1.2567934782608696,0.0,0.9171195652173914,5.8084239130434785,0.3736413043478261,1.3247282608695652,0.20380434782608695,0.5434782608695652,0.06793478260869565,1.6304347826086956,68.58016304347827,1.1209239130434783,0.33967391304347827,0.5095108695652174,0.2377717391304348,0.577445652173913,2020
5,0.3736413043478261,0.4755434782608696,0.985054347826087,1.188858695652174,0.033967391304347824,13.24728260869565,0.1358695652173913,0.8152173913043478,0.20380434782608695,0.7472826086956522,5.264945652173913,0.44157608695652173,1.8002717391304348,0.16983695652173914,0.44157608695652173,0.033967391304347824,1.0190217391304348,70.21059782608695,1.0529891304347827,0.6793478260869565,0.033967391304347824,0.1358695652173913,0.5095108695652174,2020
