Plot,ACSP,ALAL,AMDU,ASNU,BAMU,BRRU,CAFL,CORA,CYAC,DEPI,DF,DG,DS,ERCI,KRER,KRGR,L,LATR,NONE,OTHER,SCAR,THMO,YUBR,Year
BN,0.0,2.2946859903381642,0.6038647342995169,4.1062801932367154,0.0,8.51449275362319,0.18115942028985507,0.36231884057971014,0.18115942028985507,0.0,0.0,0.06038647342995169,0.36231884057971014,4.830917874396135,0.0,0.06038647342995169,0.06038647342995169,0.8454106280193237,67.02898550724638,0.5434782608695652,9.842995169082126,0.12077294685990338,0.0,2019
BS,0.04940711462450593,1.8774703557312251,0.3458498023715415,3.705533596837945,0.0,9.239130434782608,0.2964426877470355,0.3952569169960474,0.0,0.0,0.0,0.4940711462450593,0.7905138339920948,3.7549407114624502,0.0,0.0,0.0,0.7411067193675889,64.52569169960475,0.691699604743083,12.747035573122531,0.14822134387351776,0.1976284584980237,2019
RN,0.0,2.1739130434782608,0.2717391304347826,4.728260869565217,0.10869565217391304,11.467391304347826,0.16304347826086957,0.0,0.0,0.0,0.0,0.2717391304347826,0.5434782608695652,5.271739130434783,0.0,0.0,0.10869565217391304,0.16304347826086957,63.20652173913044,0.7065217391304348,10.815217391304348,0.0,0.0,2019
RS,0.0,2.010869565217391,0.16304347826086957,3.641304347826087,0.0,9.239130434782608,0.2717391304347826,0.10869565217391304,0.05434782608695652,0.0,0.0,0.16304347826086957,0.2717391304347826,4.293478260869565,0.05434782608695652,0.0,0.10869565217391304,0.2717391304347826,65.43478260869566,0.48913043478260876,13.097826086956522,0.32608695652173914,0.0,2019
UN,0.3532608695652174,2.2010869565217392,1.3315217391304348,4.130434782608695,0.0,10.625,0.3532608695652174,1.1684782608695652,0.19021739130434784,0.02717391304347826,0.0,0.3804347826086957,0.5163043478260869,1.5217391304347827,0.32608695652173914,0.29891304347826086,0.1358695652173913,0.9782608695652175,67.82608695652173,0.8695652173913043,6.358695652173912,0.08152173913043478,0.32608695652173914,2019
US,0.1358695652173913,1.7119565217391304,0.7065217391304348,1.6032608695652175,0.0,7.554347826086956,0.24456521739130438,1.6032608695652175,0.16304347826086957,0.02717391304347826,0.02717391304347826,0.46195652173913043,0.2717391304347826,0.7880434782608695,0.21739130434782608,0.21739130434782608,0.19021739130434784,1.7391304347826086,68.53260869565217,0.5163043478260869,12.309782608695652,0.46195652173913043,0.5163043478260869,2019
