DATE,Block,Plot,ARTR,BRTE,CETE,DF,DG,DS,ELEL,NONE,OTHER
2015,1,BN,0.0,10.597826086956522,0.0,0.0,0.0,0.0,3.3967391304347823,83.0163043478261,2.989130434782609
2015,1,BS,0.0,11.820652173913043,0.0,0.0,0.0,0.0,0.4076086956521739,84.64673913043478,3.125
2015,1,U1N,7.336956521739131,2.989130434782609,0.0,0.0,0.0,0.0,2.1739130434782608,86.68478260869566,0.8152173913043478
2015,1,UN,7.336956521739131,4.619565217391304,0.0,0.0,0.0,0.0,0.5434782608695652,87.5,0.0
2015,1,US,8.695652173913043,0.2717391304347826,0.0,0.0,0.0,0.0,1.9021739130434785,88.17934782608695,0.9510869565217392
2015,2,B2N,0.0,19.021739130434785,0.0,0.0,0.0,0.0,2.4456521739130435,74.18478260869566,4.3478260869565215
2015,2,B2S,2.1739130434782608,3.6684782608695654,0.0,0.0,0.0,0.0,2.1739130434782608,87.5,4.483695652173913
2015,2,BN,0.0,17.119565217391305,0.0,0.0,0.0,0.0,0.5434782608695652,79.61956521739131,2.717391304347826
2015,2,BS,0.0,13.043478260869565,0.0,0.0,0.0,0.0,2.1739130434782608,82.06521739130434,2.717391304347826
2015,2,U2N,8.967391304347826,0.2717391304347826,0.0,0.0,0.0,0.0,2.989130434782609,87.77173913043478,0.0
2015,2,U2S,10.054347826086957,0.2717391304347826,0.0,0.0,0.0,0.0,1.6304347826086956,88.04347826086956,0.0
2015,2,UN,7.621951219512195,1.524390243902439,0.0,0.0,0.0,0.0,2.1341463414634148,88.41463414634147,0.3048780487804878
2015,2,US,5.978260869565218,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,92.3913043478261,1.0869565217391304
2015,3,BN,0.0,21.603260869565215,0.0,0.0,0.0,0.0,1.4945652173913044,76.90217391304348,0.0
2015,3,BS,0.0,5.706521739130435,0.4076086956521739,2.5815217391304346,0.0,0.0,1.2228260869565217,84.51086956521739,5.570652173913043
2015,3,UN,4.3478260869565215,1.358695652173913,0.0,0.1358695652173913,0.0,1.0869565217391304,1.0869565217391304,91.71195652173914,0.2717391304347826
2015,3,US,3.3967391304347823,3.6684782608695654,0.0,0.0,0.0,1.9021739130434785,1.4945652173913044,88.72282608695652,0.8152173913043478
2015,4,BN,0.0,15.945945945945947,0.0,0.0,0.0,0.0,2.027027027027027,81.62162162162161,0.40540540540540543
2015,4,BS,0.0,7.744565217391304,0.0,0.0,0.0,0.0,0.6793478260869565,86.1413043478261,5.434782608695652
2015,4,UN,5.434782608695652,3.3967391304347823,0.0,0.0,0.0,0.0,3.6684782608695654,87.5,0.0
2015,4,US,4.3478260869565215,2.309782608695652,0.0,0.0,0.0,0.0,2.1739130434782608,90.89673913043478,0.2717391304347826
2015,5,BN,0.0,15.760869565217392,0.0,0.0,0.0,0.0,1.358695652173913,79.8913043478261,2.989130434782609
2015,5,BS,0.0,1.0869565217391304,0.0,0.4076086956521739,0.0,0.0,2.309782608695652,88.99456521739131,7.201086956521739
2015,5,UN,7.201086956521739,1.358695652173913,0.0,0.2717391304347826,0.0,0.6793478260869565,3.260869565217391,87.09239130434783,0.1358695652173913
2015,5,US,7.789855072463768,0.18115942028985507,0.0,0.0,0.0,0.36231884057971014,1.6304347826086956,89.67391304347827,0.36231884057971014
2016,1,BN,0.0,12.364130434782608,0.2717391304347826,0.0,0.0,0.0,2.0380434782608696,84.23913043478261,1.0869565217391304
2016,1,BS,0.0,12.5,1.4945652173913044,0.0,0.0,0.1358695652173913,0.2717391304347826,82.33695652173914,3.260869565217391
2016,1,UN,5.842391304347826,1.766304347826087,0.2717391304347826,0.0,0.0,1.4945652173913044,2.4456521739130435,87.90760869565217,0.2717391304347826
2016,1,US,5.842391304347826,0.0,0.0,0.0,0.0,1.2228260869565217,1.2228260869565217,91.16847826086956,0.5434782608695652
2016,2,BN,0.0,17.527173913043477,0.8152173913043478,0.1358695652173913,2.8532608695652173,0.8152173913043478,1.4945652173913044,72.28260869565217,4.076086956521739
2016,2,BS,0.0,4.211956521739131,7.880434782608696,2.309782608695652,1.6304347826086956,0.2717391304347826,1.0869565217391304,75.67934782608695,6.929347826086957
2016,2,UN,5.570652173913043,0.5434782608695652,1.2228260869565217,0.1358695652173913,0.2717391304347826,1.9021739130434785,3.260869565217391,85.46195652173914,1.6304347826086956
2016,2,US,4.619565217391304,0.0,0.6793478260869565,0.0,0.4076086956521739,3.260869565217391,1.0869565217391304,88.99456521739131,0.9510869565217392
2016,3,BN,0.0,18.070652173913043,0.4076086956521739,0.2717391304347826,2.989130434782609,0.0,1.6304347826086956,76.49456521739131,0.1358695652173913
2016,3,BS,0.0,4.483695652173913,4.211956521739131,0.5434782608695652,0.2717391304347826,0.1358695652173913,1.2228260869565217,79.8913043478261,9.239130434782608
2016,3,UN,5.706521739130435,1.4945652173913044,0.9510869565217392,0.1358695652173913,0.1358695652173913,1.766304347826087,2.1739130434782608,87.36413043478261,0.2717391304347826
2016,3,US,4.211956521739131,2.1739130434782608,1.2228260869565217,0.2717391304347826,0.5434782608695652,0.9510869565217392,2.309782608695652,86.95652173913044,1.358695652173913
2016,4,BN,0.0,18.342391304347828,0.0,0.4076086956521739,1.2228260869565217,0.0,1.358695652173913,77.44565217391305,1.2228260869565217
2016,4,BS,0.0,15.896739130434783,1.766304347826087,0.6793478260869565,0.8152173913043478,0.0,0.8152173913043478,77.58152173913044,2.4456521739130435
